t, c	M(t), рад	E(t), рад	Teta(t), с	
0	0	-1.18034	4.58021
1	0.00069697	-1.17964	4.58096
2	0.00139394	-1.17895	4.5817
3	0.00209091	-1.17825	4.58245
4	0.00278788	-1.17755	4.5832
5	0.00348485	-1.17686	4.58395
6	0.00418182	-1.17616	4.5847
7	0.00487879	-1.17546	4.58545
8	0.00557576	-1.17476	4.5862
9	0.00627273	-1.17407	4.58694
10	0.0069697	-1.17337	4.58769
11	0.00766667	-1.17267	4.58844
12	0.00836364	-1.17198	4.5892
13	0.00906061	-1.17128	4.58995
14	0.00975758	-1.17058	4.5907
15	0.0104546	-1.16989	4.59145
16	0.0111515	-1.16919	4.5922
17	0.0118485	-1.16849	4.59295
18	0.0125455	-1.16779	4.5937
19	0.0132424	-1.1671	4.59446
20	0.0139394	-1.1664	4.59521
21	0.0146364	-1.1657	4.59596
22	0.0153333	-1.16501	4.59672
23	0.0160303	-1.16431	4.59747
24	0.0167273	-1.16361	4.59822
25	0.0174243	-1.16292	4.59898
26	0.0181212	-1.16222	4.59973
27	0.0188182	-1.16152	4.60049
28	0.0195152	-1.16083	4.60124
29	0.0202121	-1.16013	4.602
30	0.0209091	-1.15943	4.60275
31	0.0216061	-1.15873	4.60351
32	0.022303	-1.15804	4.60427
33	0.023	-1.15734	4.60502
34	0.023697	-1.15664	4.60578
35	0.024394	-1.15595	4.60654
36	0.0250909	-1.15525	4.60729
37	0.0257879	-1.15455	4.60805
38	0.0264849	-1.15386	4.60881
39	0.0271818	-1.15316	4.60957
40	0.0278788	-1.15246	4.61033
41	0.0285758	-1.15176	4.61109
42	0.0292727	-1.15107	4.61184
43	0.0299697	-1.15037	4.6126
44	0.0306667	-1.14967	4.61336
45	0.0313637	-1.14898	4.61412
46	0.0320606	-1.14828	4.61488
47	0.0327576	-1.14758	4.61564
48	0.0334546	-1.14689	4.61641
49	0.0341515	-1.14619	4.61717
50	0.0348485	-1.14549	4.61793
51	0.0355455	-1.14479	4.61869
52	0.0362424	-1.1441	4.61945
53	0.0369394	-1.1434	4.62022
54	0.0376364	-1.1427	4.62098
55	0.0383334	-1.14201	4.62174
56	0.0390303	-1.14131	4.6225
57	0.0397273	-1.14061	4.62327
58	0.0404243	-1.13992	4.62403
59	0.0411212	-1.13922	4.6248
60	0.0418182	-1.13852	4.62556
61	0.0425152	-1.13783	4.62633
62	0.0432121	-1.13713	4.62709
63	0.0439091	-1.13643	4.62786
64	0.0446061	-1.13573	4.62862
65	0.0453031	-1.13504	4.62939
66	0.046	-1.13434	4.63015
67	0.046697	-1.13364	4.63092
68	0.047394	-1.13295	4.63169
69	0.0480909	-1.13225	4.63245
70	0.0487879	-1.13155	4.63322
71	0.0494849	-1.13086	4.63399
72	0.0501818	-1.13016	4.63476
73	0.0508788	-1.12946	4.63553
74	0.0515758	-1.12876	4.6363
75	0.0522728	-1.12807	4.63706
76	0.0529697	-1.12737	4.63783
77	0.0536667	-1.12667	4.6386
